Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,29.1376019716263,0.455275030806661,0.449167788028717,0.0575801294520972
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,18.1363109201193,0.370128794288149,0.374965161085129,0.062806162558784
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,24.0218149721622,0.387448628583262,0.385378032922745,0.0696139920296067
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,23.9989979863167,0.452811282760692,0.469438523054123,0.0725730269742952
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,21.6522375643253,0.433044751286507,0.42381227016449,0.0591788465043865
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,18.3463678210974,0.352814765790334,0.370758384466171,0.0819986830437111
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,24.5960546731949,0.378400841126075,0.373432785272598,0.0784199765974958
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,24.2509054839611,0.418119060068295,0.416885420680046,0.0806227939920875
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,22.3746452480555,0.360881374968636,0.35863271355629,0.0799451637020945
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,29.6286819279194,0.493811365465323,0.497940957546234,0.0565290011466227
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,28.4380868673325,0.498913804690043,0.506568372249603,0.0459367006309705
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,29.385949909687,0.438596267308762,0.442387491464615,0.0613065021254985
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,24.4709964990616,0.370772674228206,0.362280249595642,0.0536450346277501
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,17.4793079644442,0.312130499365074,0.312529101967812,0.0575416016847465
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,21.5311552323401,0.377739565479651,0.38830703496933,0.0835604832929919
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,20.5541864186525,0.316218252594654,0.333445101976395,0.0716064387480692
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,26.3222757279873,0.411285558249801,0.411524921655655,0.0681873455037333
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,27.9405845403671,0.39915120771953,0.407188177108765,0.0669495178346706
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,26.0181380659342,0.419647388160229,0.424312055110931,0.0581415991115312
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,20.2464505657554,0.361543760102774,0.375472337007523,0.0909759026465585
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,20.9458878338337,0.361135997135064,0.357800379395485,0.0650290599678012
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,21.6417863816023,0.366809938671225,0.367315411567688,0.049770689528979
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,25.2750274538994,0.377239215729842,0.374698042869568,0.0486230649066795
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,28.093778938055,0.43896529590711,0.439560011029243,0.0462054274988283
