Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,17.2761731594801,0.269940205616876,0.267435774207115,0.054907558290796
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,10.4790229424834,0.21385761107109,0.204916104674339,0.0556965212704967
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,14.6872618496418,0.236891320155513,0.228988498449326,0.0566093220732758
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,17.6019615381956,0.332112481852747,0.356888145208359,0.0744827688544186
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,15.4208912551403,0.308417825102806,0.300977766513824,0.0624367473808033
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,11.822342634201,0.227352742965405,0.222515054047108,0.0429919674440275
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,19.8587642163038,0.305519449481597,0.31708887219429,0.06264306217212
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,14.5993031784892,0.251712123767055,0.246791996061802,0.0751196035866421
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,14.6362007036805,0.23606775328517,0.23572988063097,0.0718632303033633
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,19.0433545410633,0.317389242351055,0.315071433782578,0.0515707159183007
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,20.850329875946,0.36579526098151,0.369343727827072,0.0462136243958201
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,18.2623517513275,0.272572414198918,0.275488972663879,0.0705673673130135
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,18.1576592475176,0.275116049204812,0.282344788312912,0.0448474663153232
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,12.8452362120152,0.229379218071699,0.232778862118721,0.0674843228792166
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,15.545247271657,0.272723636344859,0.280674278736115,0.0632444215360096
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,16.1844364255667,0.248991329624103,0.244852110743523,0.0594203866922257
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,17.6804255247116,0.276256648823619,0.271318912506104,0.0688318970715333
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,19.2298169285059,0.274711670407227,0.278190076351166,0.0567493268917448
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,19.1279665827751,0.30851559004476,0.330609500408173,0.0743005741283593
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,15.0840338766575,0.269357747797455,0.268727317452431,0.075441041265302
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,12.7312635481358,0.219504543933375,0.220817163586617,0.0526849287732761
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,18.8839545100927,0.320067025594792,0.326362431049347,0.0576667554386148
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,17.9224340170622,0.267499015180033,0.274898290634155,0.0527869651263433
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,17.2478532940149,0.269497707718983,0.275727704167366,0.0509123265903034
