Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,21.8492278307676,0.341394184855744,0.346267446875572,0.0605910253920165
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,13.4864630699158,0.275233940202363,0.277275532484055,0.0639027109633953
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,18.1053262352943,0.292021390891844,0.293361514806747,0.0623760018572663
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,20.5428693443537,0.387601308384032,0.408393263816833,0.067611183416197
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,17.7580191344023,0.355160382688046,0.339431032538414,0.0650429857857385
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,14.4344478994608,0.277585536528092,0.274082347750664,0.0625240717339447
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,20.5459048599005,0.316090843998469,0.310391038656235,0.0762866360643039
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,18.4181770011783,0.317554775882384,0.323809608817101,0.0796496491760392
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,17.1923344042152,0.27729571619702,0.275482937693596,0.0807293777262734
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,23.5157146155834,0.39192857692639,0.396291792392731,0.0485464978378789
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,24.3063038885593,0.426426384009813,0.433045953512192,0.0539168181263987
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,21.3654352128506,0.318887092729113,0.319992661476135,0.0776805519205623
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,18.2929723858833,0.27716624827096,0.270525559782982,0.0659998896850098
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,14.2629131823778,0.254694878256747,0.264443129301071,0.0492074576765824
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,17.4066072180867,0.305379074001521,0.316840618848801,0.0747365425728313
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,15.5243654921651,0.238836392187155,0.240973860025406,0.0693104984279886
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,20.8110675662756,0.325172930723056,0.318972855806351,0.0732637405161614
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,23.1148844175041,0.330212634535772,0.342118322849274,0.0766593407528732
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,22.2845462039113,0.359428164579215,0.376659572124481,0.0814131837928055
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,17.1951715946198,0.30705663561821,0.327190041542053,0.0964492907421339
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,16.2068490386009,0.279428431700016,0.291829854249954,0.0609632065409446
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,18.7727020680904,0.318181390984584,0.327856093645096,0.0598872042507414
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,18.9752776995301,0.283213099992987,0.28762623667717,0.059555477135047
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,20.6196193695068,0.322181552648544,0.325428768992424,0.0562941787485871
