Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,26.0146594643593,0.406479054130614,0.398400083184242,0.0582253811774094
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,15.9960299432278,0.326449590678118,0.330954134464264,0.0675751473367439
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,21.8028202056885,0.35165839041433,0.347062408924103,0.069907324156319
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,22.9087949097157,0.432241413390861,0.456799805164337,0.0709823236673176
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,20.1964067518711,0.403928135037422,0.407741665840149,0.0642008701661965
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,16.6133480072021,0.319487461676964,0.324254512786865,0.0763755994223395
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,22.8697642832994,0.351842527435376,0.344615429639816,0.0764914498728365
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,21.8972195535898,0.377538268165342,0.387242257595062,0.0880363644390454
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,20.1928746551275,0.325691526695605,0.322199493646622,0.0843499381504317
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,27.5357203185558,0.458928671975931,0.462842211127281,0.0543718014343404
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,26.703539788723,0.468483154188123,0.473700374364853,0.0539548003120433
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,25.9682775139809,0.387586231551953,0.38442924618721,0.0712972064356226
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,21.2570353895426,0.322076293780948,0.327387437224388,0.0634938483937607
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,16.2102563977242,0.289468864245074,0.294319495558739,0.0553104536709341
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,20.0660588219762,0.352036119683793,0.371040731668472,0.082253265928192
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,18.2349302768707,0.280537388874934,0.294163465499878,0.0735951451002979
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,23.954203762114,0.374284433783032,0.37081204354763,0.0731315387732803
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,26.6881015896797,0.381258594138282,0.389789953827858,0.0741876645342672
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,24.8398647010326,0.400642979048914,0.413301825523376,0.0636393912906004
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,18.9976241290569,0.339243288018874,0.357143491506577,0.0908461850960658
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,18.8195853233337,0.324475609022996,0.324233070015907,0.0627567113018033
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,20.4438931047916,0.346506662793079,0.349018812179565,0.0531540104777779
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,22.1971715390682,0.331301067747287,0.33427432179451,0.0505933038834356
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,25.0536433160305,0.391463176812977,0.389851704239845,0.0467709723880345
