Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,15.9524638652802,0.249257247895002,0.250486522912979,0.0556208046192101
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,9.56224083900452,0.195147772224582,0.203318476676941,0.0628968602806063
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,13.1460155844688,0.212032509426917,0.213687248528004,0.0521154638184682
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,16.5030783936381,0.311378837615814,0.321277797222137,0.0706192654946446
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,14.5542469322681,0.291084938645363,0.286630600690842,0.0656717850777165
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,10.6283232420683,0.204390831578236,0.202645018696785,0.0548005166931236
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,18.2116039693356,0.280178522605162,0.295347839593887,0.0645722748147661
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,13.0732631925493,0.225401089526713,0.225626148283482,0.083733384477933
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,13.2798775751144,0.214191573792167,0.21843334287405,0.0714548696049261
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,17.5794625431299,0.292991042385499,0.287871867418289,0.0481761010907452
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,20.0632829368114,0.35198741994406,0.352715611457825,0.0506906592652851
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,16.6940012127161,0.249164197204718,0.260752856731415,0.0733840755604926
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,17.3043136447668,0.262186570375255,0.265061154961586,0.0493461570882654
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,11.9191905334592,0.212842688097485,0.21401235461235,0.0641772136781676
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,14.6009658426046,0.256157295484292,0.268636971712112,0.0575922206381023
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,15.281589705497,0.23510138008457,0.235125139355659,0.0602737402421588
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,16.7554731145501,0.261804267414846,0.253632083535194,0.0725113559250358
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,17.6712716892362,0.252446738417659,0.253852143883705,0.0720010276618722
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,18.0263916403055,0.290748252262992,0.304312452673912,0.0720610868222826
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,13.9000081755221,0.248214431705752,0.256897494196892,0.0724626905181612
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,11.9113912135363,0.205368814026487,0.207554176449776,0.0477623873935726
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.9262643903494,0.303834989666939,0.300961673259735,0.0555055695377986
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,16.7872417271137,0.250555846673339,0.243795037269592,0.0557130182231672
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,15.9252384379506,0.248831850592978,0.253996029496193,0.0535180620954497
