Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,14.6035752743483,0.228180863661692,0.223117873072624,0.0673392624149031,2021,6,2
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,15.5973149240017,0.222818784628596,0.235687747597694,0.0706897071234962,2021,6,2
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,16.4238758427091,0.264901223269501,0.287537038326263,0.0752708098384528,2021,6,2
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,12.2024938303512,0.217901675541985,0.239616617560387,0.0733974420710789,2021,6,2
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,10.6045918948948,0.18283779129129,0.193417586386204,0.0498045139866244,2021,6,2
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,15.0611529350281,0.255273778559798,0.265683740377426,0.061976627668169,2021,6,2
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,14.7587085904088,0.220279232692668,0.222935721278191,0.0539155466257084,2021,6,2
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,14.1295281145722,0.22077387679019,0.225069671869278,0.052549055473842,2021,6,2
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2021,6,10
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2021,6,10
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2021,6,10
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2021,6,10
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2021,6,10
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2021,6,10
