Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2020,6,1
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2020,6,1
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2020,6,1
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2020,6,1
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2020,6,1
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2020,6,1
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2020,6,1
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2020,6,1
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2020,6,1
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2020,6,1
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2020,6,1
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2020,6,1
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2020,6,1
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2020,6,1
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2020,6,1
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2020,6,1
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2020,6,1
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2020,6,1
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2020,6,1
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2020,6,1
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2020,6,1
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2020,6,1
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2020,6,1
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2020,6,1
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,17.566813647747,0.274481463246047,0.277642965316772,0.0388846082533942,2020,6,9
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,11.2740800827742,0.230083266995391,0.229669436812401,0.0390260578018214,2020,6,9
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,15.5386769175529,0.250623821250854,0.260652080178261,0.037698459906826,2020,6,9
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,16.4001954495907,0.309437649992277,0.31836062669754,0.0483229384775518,2020,6,9
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,15.1774770766497,0.303549541532993,0.298314154148102,0.0417607155756717,2020,6,9
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,12.5599160939455,0.24153684796049,0.2427898645401,0.0360758223057458,2020,6,9
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,19.1535919308662,0.29467064509025,0.2941854596138,0.0430766084538492,2020,6,9
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,14.8103219717741,0.255350378823691,0.256755456328392,0.057616610372159,2020,6,9
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,15.4801122248173,0.249679229432537,0.25704824924469,0.0500365922011769,2020,6,9
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,18.4218874275684,0.307031457126141,0.306075111031532,0.0307278718203154,2020,6,9
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,19.5552756637335,0.343075011644447,0.347052872180939,0.0352111706748978,2020,6,9
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,18.3588145375252,0.274012157276495,0.28214818239212,0.0477503650890041,2020,6,9
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,17.8891770839691,0.271048137635896,0.272882223129272,0.036775021176852,2020,6,9
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,13.4621134847403,0.240394883656076,0.242644362151623,0.0484596287129102,2020,6,9
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,15.5704920068383,0.27316652643576,0.280794948339462,0.0483324077444493,2020,6,9
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,15.6506083235145,0.24077858959253,0.239007622003555,0.0440787360978353,2020,6,9
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,17.5698169916868,0.274528390495107,0.268063053488731,0.0538306884188702,2020,6,9
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,19.6812219843268,0.281160314061812,0.282405078411102,0.0500258761106484,2020,6,9
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,18.6136899590492,0.300220805791117,0.315012097358704,0.053861870898654,2020,6,9
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,14.8300464265049,0.264822257616158,0.273087039589882,0.0610453679484351,2020,6,9
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,14.2358709871769,0.24544605150305,0.251206584274769,0.0421641454290165,2020,6,9
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,17.8164384663105,0.301973533327297,0.309205949306488,0.0438910861790519,2020,6,9
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,17.8048691898584,0.265744316266544,0.267410337924957,0.0376926789225385,2020,6,9
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,17.2585908025503,0.269665481289849,0.274582952260971,0.0378271514557087,2020,6,9
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2020,6,17
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2020,6,17
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2020,6,17
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2020,6,17
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2020,6,17
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2020,6,17
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2020,6,17
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2020,6,17
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2020,6,17
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2020,6,17
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2020,6,17
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2020,6,17
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2020,6,17
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2020,6,17
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2020,6,17
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2020,6,17
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2020,6,17
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2020,6,17
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2020,6,17
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2020,6,17
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2020,6,17
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2020,6,17
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2020,6,17
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2020,6,17
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,15.9524638652802,0.249257247895002,0.250486522912979,0.0556208046192101,2020,6,25
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,9.56224083900452,0.195147772224582,0.203318476676941,0.0628968602806063,2020,6,25
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,13.1460155844688,0.212032509426917,0.213687248528004,0.0521154638184682,2020,6,25
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,16.5030783936381,0.311378837615814,0.321277797222137,0.0706192654946446,2020,6,25
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,14.5542469322681,0.291084938645363,0.286630600690842,0.0656717850777165,2020,6,25
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,10.6283232420683,0.204390831578236,0.202645018696785,0.0548005166931236,2020,6,25
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,18.2116039693356,0.280178522605162,0.295347839593887,0.0645722748147661,2020,6,25
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,13.0732631925493,0.225401089526713,0.225626148283482,0.083733384477933,2020,6,25
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,13.2798775751144,0.214191573792167,0.21843334287405,0.0714548696049261,2020,6,25
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,17.5794625431299,0.292991042385499,0.287871867418289,0.0481761010907452,2020,6,25
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,20.0632829368114,0.35198741994406,0.352715611457825,0.0506906592652851,2020,6,25
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,16.6940012127161,0.249164197204718,0.260752856731415,0.0733840755604926,2020,6,25
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,17.3043136447668,0.262186570375255,0.265061154961586,0.0493461570882654,2020,6,25
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,11.9191905334592,0.212842688097485,0.21401235461235,0.0641772136781676,2020,6,25
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,14.6009658426046,0.256157295484292,0.268636971712112,0.0575922206381023,2020,6,25
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,15.281589705497,0.23510138008457,0.235125139355659,0.0602737402421588,2020,6,25
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,16.7554731145501,0.261804267414846,0.253632083535194,0.0725113559250358,2020,6,25
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,17.6712716892362,0.252446738417659,0.253852143883705,0.0720010276618722,2020,6,25
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,18.0263916403055,0.290748252262992,0.304312452673912,0.0720610868222826,2020,6,25
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,13.9000081755221,0.248214431705752,0.256897494196892,0.0724626905181612,2020,6,25
