Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,16.8944656997919,0.263976026559249,0.264108553528786,0.0544969827011636
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,10.4887211918831,0.214055534528226,0.207935348153114,0.0622797041054171
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,13.9827350527048,0.225527984721045,0.232075184583664,0.0552898854049629
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,17.0886341258883,0.322427058979025,0.343478947877884,0.0745072037810776
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,15.1613420248032,0.303226840496063,0.291739746928215,0.0658498880535285
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,11.3959220647812,0.219152347399638,0.215918436646461,0.0549426724857964
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,19.0267321020365,0.292718955415946,0.303745687007904,0.0604562483316246
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,13.7927508316934,0.2378060488223,0.242315277457237,0.0812443788170675
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,13.2874636463821,0.214313929780356,0.211552999913692,0.0773905083506949
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,18.4655114859343,0.307758524765571,0.305386051535606,0.0469954629639002
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,20.4780840873718,0.359264633111786,0.360471546649933,0.0490277104156845
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,17.4742636233568,0.260809904826221,0.264470756053925,0.0716658407500272
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,16.7522367984056,0.253821769672813,0.252741381525993,0.0482268768695491
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,12.0776580497622,0.215672465174326,0.224726997315884,0.0605696689833123
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,14.5867162258364,0.255907302207657,0.272823959589005,0.0658486331043021
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,13.9911787323654,0.215248903574852,0.212382838129997,0.06363555640645
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,16.9385336041451,0.264664587564766,0.254837781190872,0.0700458128058911
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,18.2161828801036,0.26023118400148,0.258492112159729,0.0767264428279014
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,18.4129118956625,0.296982449930041,0.321333974599838,0.0773377256024727
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,14.8729092255235,0.265587664741491,0.280086368322372,0.0763254535620491
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,12.7565953396261,0.21994129895907,0.222294226288795,0.0511928325308432
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.8139490038157,0.301931339047723,0.300678580999374,0.0659175880578221
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,17.2608667835593,0.257624877366557,0.266568899154663,0.0569155884374212
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,16.5407942086458,0.258449909510091,0.26539458334446,0.0534872263289104
