Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,14.8865744322538,0.232602725503966,0.23472548276186,0.0515615921158758
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,8.98822506889701,0.183433164671368,0.19131863117218,0.0587127554261415
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,12.6200944036245,0.20354990973588,0.212403796613216,0.0505685787545884
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,15.2731289789081,0.288172244885058,0.297305345535278,0.0689806161600647
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,13.6584281921387,0.273168563842773,0.268100142478943,0.0556406189971575
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,9.66393488645554,0.185844901662606,0.17764725536108,0.0541392107980621
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,18.3402605801821,0.282157855079724,0.292877227067947,0.061053609954559
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,11.7485358323902,0.202560962627417,0.204052157700062,0.0824842582494599
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,11.7095953764292,0.18886444155531,0.200049005448818,0.0760524617659681
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,16.4353911280632,0.27392318546772,0.267613187432289,0.0457220708205354
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,18.6075092256069,0.326447530273806,0.334156543016434,0.046107536751781
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,15.5595644265413,0.232232304873751,0.236566767096519,0.0597555913941462
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,16.209584236145,0.245599761153712,0.248221442103386,0.0471452406483804
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,10.9926700592041,0.196297679628645,0.202710226178169,0.0630645180362074
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,13.3077804548666,0.233469832541519,0.241087183356285,0.0601730874501323
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,12.9377356767654,0.199042087334853,0.206065714359283,0.0617605837104056
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,15.2031459733844,0.237549155834131,0.227406695485115,0.0646827623755042
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,16.0078066177666,0.22868295168238,0.241213567554951,0.0659206173467095
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,16.6486528925598,0.268526659557416,0.28091037273407,0.0647386724913858
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,12.7979329116642,0.228534516279719,0.244148954749107,0.0811718417670145
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,11.1446945816278,0.19214990657979,0.197847381234169,0.0505381440202291
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,16.522483959794,0.280042101013458,0.283249884843826,0.0567095834152205
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,15.9126806277782,0.237502695936988,0.247335687279701,0.0581251660296162
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,14.6141628473997,0.22834629449062,0.218217425048351,0.048046402377387
