Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,0,0,,,
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,0,0,,,
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,0,0,,,
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,0,0,,,
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,0,0,,,
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,0,0,,,
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,0,0,,,
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,0,0,,,
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,0,0,,,
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,0,0,,,
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,0,0,,,
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,0,0,,,
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,0,0,,,
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,0,0,,,
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,0,0,,,
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,0,0,,,
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,0,0,,,
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,0,0,,,
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,0,0,,,
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,0,0,,,
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,0,0,,,
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,0,0,,,
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,0,0,,,
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,0,0,,,
