Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,19.5641205459833,0.305689383530989,0.30502413213253,0.0521815188926927
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,12.3762819617987,0.25257718289385,0.244070380926132,0.0582855529983879
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,16.7130517587066,0.26956535094688,0.278545930981636,0.0536115296205182
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,18.6577807441354,0.352033598945951,0.365183472633362,0.0714435952063406
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,16.4808932393789,0.329617864787579,0.325753211975098,0.0565492453732912
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,13.4849074631929,0.259325143522941,0.259025752544403,0.0468148845534628
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,19.4319579601288,0.298953199386597,0.295017391443253,0.06115894763859
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,16.2919890731573,0.280896363330298,0.278554305434227,0.0753952961867216
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,15.4330211281776,0.248919695615768,0.255091190338135,0.0694381258334716
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,21.5290163755417,0.358816939592361,0.355678454041481,0.0396594914733947
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,21.9239747524261,0.384631136007476,0.390919983386993,0.0427609899760388
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,19.906868904829,0.297117446340732,0.310894757509232,0.0735032999715412
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,16.5468340665102,0.250709607068336,0.259988069534302,0.0566951792863087
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,12.9247679263353,0.230799427255988,0.242947928607464,0.0504157546970837
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,15.5767590999603,0.2732764754379,0.278164207935333,0.0690509037528335
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,13.779299877584,0.211989228885907,0.223487108945847,0.0617856370872698
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,18.0990316942334,0.282797370222397,0.276899129152298,0.0673255548707303
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,20.8980013169348,0.298542875956212,0.30584904551506,0.0633462033751732
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,19.8352701216936,0.31992371164022,0.341200172901154,0.0737392481614503
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,15.9956919997931,0.285637357139162,0.30101203918457,0.0779899427683361
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,14.6663121730089,0.252867451258774,0.264496251940727,0.0562934166398036
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.596430644393,0.298244587193101,0.3143689930439,0.0625187174042551
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,17.4591880142689,0.260584895735356,0.264174282550812,0.0502923200779836
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,18.4231110364199,0.28786110994406,0.293553650379181,0.0477259381900831
