Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,14.6144250631332,0.228350391611457,0.231502398848534,0.0503706021479114
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,8.57075340300798,0.174913334755265,0.182025507092476,0.0583848215159962
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,12.2607492990792,0.19775402095289,0.205072611570358,0.0501368958610457
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,15.1909639909863,0.286621962094082,0.297071158885956,0.0692429631636239
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,13.7037324607372,0.274074649214745,0.270066812634468,0.0617316230663317
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,9.45377474278212,0.181803360438118,0.186580523848534,0.0515000851561272
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,17.1760021299124,0.264246186614037,0.266619026660919,0.0565757438476526
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,11.0330118872225,0.190224342883147,0.199014782905579,0.0862566508361284
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,11.3074661763385,0.182378486715137,0.188520595431328,0.0763763348998882
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,16.3356407731771,0.272260679552952,0.271430641412735,0.0439538625216999
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,18.4005275219679,0.322816272315226,0.33161461353302,0.0464871602511205
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,14.9874603822827,0.223693438541533,0.226098045706749,0.0666691982838188
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,14.3892528787255,0.218018983010993,0.218222074210644,0.0516597291941624
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,10.3771661669016,0.185306538694671,0.193908087909222,0.0603468922970589
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,12.7868603458628,0.224330883260751,0.241149961948395,0.0596624182882497
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,10.9103393428959,0.167851374506091,0.17614521086216,0.0582857832717856
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,14.6035752743483,0.228180863661692,0.223117873072624,0.0673392624149031
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,15.5973149240017,0.222818784628596,0.235687747597694,0.0706897071234962
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,16.4238758427091,0.264901223269501,0.287537038326263,0.0752708098384528
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,12.2024938303512,0.217901675541985,0.239616617560387,0.0733974420710789
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,10.6045918948948,0.18283779129129,0.193417586386204,0.0498045139866244
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,15.0611529350281,0.255273778559798,0.265683740377426,0.061976627668169
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,14.7587085904088,0.220279232692668,0.222935721278191,0.0539155466257084
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,14.1295281145722,0.22077387679019,0.225069671869278,0.052549055473842
