Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,17.341424420476,0.270959756569937,0.271436631679535,0.0517466606240044
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,10.6863860040903,0.218089510287557,0.214631527662277,0.0641560697949148
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,14.9204352870584,0.240652182049328,0.238290958106518,0.0555904105377369
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,17.5219193845987,0.330602252539599,0.338318079710007,0.0735345382578224
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,15.3696498721838,0.307392997443676,0.306670874357224,0.0607600334772717
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,11.7621440589428,0.226195078056592,0.23262120038271,0.0459750269742364
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,19.0366737544537,0.292871903914672,0.292845815420151,0.0643044390629698
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,14.4553773403168,0.249230643798565,0.25169637799263,0.0839086885832079
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,13.7591664269567,0.221922039144462,0.219469010829926,0.0710207380921175
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,19.577202424407,0.32628670707345,0.327613264322281,0.047213136302401
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,21.1151458919048,0.37044115599833,0.377414971590042,0.0448333685125351
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,17.621846832335,0.263012639288582,0.267417907714844,0.0720250868980439
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,15.8741741254926,0.240517789780191,0.24228648096323,0.0546592058629543
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,12.0313349813223,0.214845267523612,0.215753689408302,0.056968644956689
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,14.5720551423728,0.255650090217067,0.267684489488602,0.0687444885221514
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,12.9109859466553,0.198630553025466,0.201885610818863,0.0650428231982314
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,16.8966234028339,0.26400974066928,0.25669963657856,0.0680823784802745
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,18.5643654540181,0.265205220771687,0.271127328276634,0.0678103626800401
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,18.577358936891,0.299634821562757,0.315335065126419,0.0826546581711962
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,14.7090369723737,0.262661374506674,0.276487052440643,0.0778970968178606
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,13.1021541208029,0.22589920897936,0.231167912483215,0.0568054612615367
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.0822327286005,0.289529368281364,0.30204901099205,0.0675458493607623
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,16.7164104320109,0.249498663164342,0.256610363721848,0.0526736686827557
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,16.6440308876336,0.260062982619274,0.268552631139755,0.0569895872455775
