Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,20.7046512812376,0.323510176269338,0.329518735408783,0.0601454493755402
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,12.4791029244661,0.254675569887064,0.25193378329277,0.0595578075336195
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,17.7768684029579,0.286723683918676,0.299320086836815,0.0638987884726554
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,19.3279263526201,0.364677855709814,0.371031939983368,0.069537778232581
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,16.7706963866949,0.335413927733898,0.322658210992813,0.0588405423705155
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,13.5756245702505,0.261069703274048,0.260084420442581,0.0623888633288387
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,19.7084824740887,0.303207422678287,0.30004209280014,0.0671416890415851
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,16.9009944498539,0.291396456031964,0.297739386558533,0.0818072553332644
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,15.8897874932736,0.2562868950528,0.25434610247612,0.0779208102316324
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,22.4194070994854,0.373656784991423,0.378329336643219,0.050657266958087
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,22.6781866848469,0.397862924295559,0.407123208045959,0.0447112898551639
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,20.2310644090176,0.301956185209217,0.309090882539749,0.073038138889569
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,17.4103679209948,0.263793453348405,0.254872679710388,0.0609379887327762
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,13.3167946487665,0.237799904442259,0.235408276319504,0.0458374069399914
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,16.1677301116288,0.283644387923312,0.302517861127853,0.0791558295452009
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,13.9790770113468,0.215062723251489,0.211361542344093,0.0772537039486579
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,19.3776347339153,0.302775542717427,0.290143206715584,0.0724434757694893
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,21.512380878441,0.307319726834872,0.313561111688614,0.0775096137231722
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,21.0433679968119,0.339409161238901,0.357971698045731,0.0743635592191461
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,16.0884099528193,0.287293034871774,0.312003165483475,0.0915413017896228
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,15.4989916235209,0.26722399350898,0.27505686879158,0.0620380623222105
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.4183802753687,0.295226784328283,0.310656368732452,0.057068281816472
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,17.8259409889579,0.266058820730715,0.268705815076828,0.057407937381697
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,19.4072985351086,0.303239039611071,0.300435185432434,0.0514608075720815
