Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,13.7361507862806,0.214627356035635,0.214198537170887,0.0164611563001454
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,8.01430417597294,0.16355722808108,0.165501654148102,0.0153264412922584
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,8.74224845319986,0.141004007309675,0.144636541604996,0.0147488935542059
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,5.83163999766111,0.110030943352096,0.109569668769836,0.0137605799565235
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,9.74607481062412,0.194921496212482,0.198867365717888,0.0312885960333633
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,7.46159402281046,0.143492192746355,0.142559871077538,0.0153588753233842
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,7.10390780121088,0.109290889249398,0.110098958015442,0.00818082347643228
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,4.9715006724,0.0857155288344827,0.0865791849792004,0.00722909806015386
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,6.61586753278971,0.106707540851447,0.107238531112671,0.0080051105000647
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,6.48215130716562,0.108035855119427,0.107839193195105,0.010909213220812
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,7.23113699257374,0.126862052501294,0.128916636109352,0.0160347775901749
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,8.4973485916853,0.126826098383363,0.128467008471489,0.0208131264569093
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,16.7595309466124,0.253932287069884,0.249272793531418,0.0337660169134042
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,10.4738544672728,0.187033115487014,0.178850308060646,0.0249550530088103
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,10.8038553893566,0.189541322620291,0.183707296848297,0.0295003907816954
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,14.7843742072582,0.227451910880896,0.227810308337212,0.0306769282247643
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,12.5199151337147,0.195623673964292,0.198541603982449,0.0294333000983755
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,12.403381228447,0.177191160406385,0.16967586427927,0.0321261042230208
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,12.3012660443783,0.198407516844811,0.202428586781025,0.0249071642834439
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,11.9112779796124,0.212701392493078,0.215941160917282,0.0362735045473072
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,9.92322161793709,0.171090027895467,0.17096483707428,0.0164578102708609
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,14.9834391921759,0.253956596477557,0.244465515017509,0.0364058452679453
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,14.8110447376966,0.221060369219353,0.202278137207031,0.0488144612514618
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,13.9132809787989,0.217395015293732,0.207712888717651,0.0356764798193789
