Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,12.3282754123211,0.192629303317517,0.19091434776783,0.0504979171864782
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,6.36782229319215,0.129955557003921,0.127323642373085,0.0551047268320313
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,9.93292915076017,0.16020853468968,0.165170080959797,0.0527295736416966
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,13.4863227065653,0.254458918991797,0.270629614591599,0.0810163141757725
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,12.5343749299645,0.250687498599291,0.236467137932777,0.0583643277952164
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,8.2694788724184,0.1590284398542,0.161600880324841,0.0462781548905726
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,11.7830991819501,0.181278448953078,0.169973015785217,0.0639633693919407
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,9.7449875283055,0.168017026350095,0.163196191191673,0.0837624935408063
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,10.1905311211012,0.164363405179052,0.159762464463711,0.0750334407700587
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,14.156745955348,0.235945765922467,0.230314075946808,0.0449870436264674
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,17.0201239436865,0.29859866567871,0.306579649448395,0.0485234162062033
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,11.9712803140283,0.178675825582511,0.171518191695213,0.0682127297903991
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,10.1189479418099,0.153317393057726,0.15325266122818,0.0541842028054092
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,7.96308524440974,0.142197950793031,0.14094852656126,0.0515775440496554
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,11.3724084440619,0.199515937615121,0.211342886090279,0.0592365612013644
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,8.06324678845704,0.124049950591647,0.124681361019611,0.0540843085956983
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,13.0126166455448,0.203322135086637,0.192259430885315,0.0637988019854273
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,13.6366121582687,0.194808745118124,0.197536312043667,0.0589731612016208
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,15.232432551682,0.245684395994871,0.26284071803093,0.0674237222854909
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,9.56093534454703,0.170730988295483,0.178640097379684,0.071557200498087
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,8.89588512689807,0.153377329774105,0.151865288615227,0.0563056588887981
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,11.3248725347221,0.191946992113934,0.193387821316719,0.0648539301670862
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,10.3942432012409,0.155137958227476,0.151583284139633,0.0480122184517135
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,12.6364191509783,0.197444049234036,0.192690528929234,0.0491524299143242
