Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,20.6978036016226,0.323403181275353,0.327081710100174,0.0613970284064039
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,12.2733539938927,0.250476612120259,0.233592107892036,0.066845415390536
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,17.3533015176654,0.279891959962345,0.281765446066856,0.0620692728772333
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,19.7177007198334,0.37203208905346,0.388165593147278,0.0817314425026768
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,17.2789212167263,0.345578424334526,0.34209942817688,0.0603401317076453
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,14.0951941758394,0.27106142645845,0.261355966329575,0.0522408896469682
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,19.8000344187021,0.304615914133879,0.295586287975311,0.0759528650290255
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,17.9213269278407,0.308988395307598,0.314370423555374,0.0859168621113564
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,16.7676312923431,0.270445666005534,0.273734241724014,0.0802596834589636
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,22.5799536854029,0.376332561423381,0.377363204956055,0.0490744606216189
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,23.5390440523624,0.412965685129166,0.429886877536774,0.0511815444843743
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,20.6478207856417,0.308176429636443,0.311576724052429,0.0724812984338972
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,17.2542477101088,0.261427995607708,0.266365423798561,0.0580305445398272
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,13.6192195862532,0.243200349754521,0.237280011177063,0.0549439423930585
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,17.3044957444072,0.303587644638722,0.30974930524826,0.0691765524242921
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,15.5238974839449,0.238829192060691,0.238329648971558,0.0631220997207876
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,20.4876217767596,0.320119090261869,0.31269159913063,0.0697708974974007
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,22.119153663516,0.315987909478801,0.323819577693939,0.0630582969149237
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,21.8549686670303,0.352499494629522,0.362716555595398,0.0722196900217373
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,16.1404083520174,0.288221577714596,0.299218207597733,0.0785116352222724
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,14.9154072031379,0.25716219315755,0.265575468540192,0.0600553472850675
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,18.315156981349,0.31042638951439,0.321309685707092,0.0576851144650995
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,18.1892155632377,0.271480829302055,0.277395635843277,0.0539668516423485
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,20.0377744734287,0.313090226147324,0.314599186182022,0.0507154609479346
