Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,14.3952438831329,0.224925685673952,0.218906916677952,0.0362352627063178
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,8.65126394107938,0.176556406960804,0.179795622825623,0.0457154601731803
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,12.3341070860624,0.198937211065523,0.20518097281456,0.0361141862487594
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,14.5092535763979,0.27375950144147,0.272081285715103,0.0508986090897304
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,13.0829207897186,0.261658415794373,0.26476663351059,0.0451007220660412
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,10.0969241559505,0.194171618383664,0.1935805529356,0.0351968453071981
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,14.6007656157017,0.224627163318487,0.226572483778,0.0486532555720443
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,12.2285967804492,0.210837875524985,0.220501959323883,0.0633431885997188
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,12.4743498936296,0.201199191832735,0.209050685167313,0.0554736125934086
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,15.675140991807,0.26125234986345,0.262187153100967,0.0347100725595887
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,17.9119734466076,0.314245148186098,0.318445473909378,0.0405196631778193
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,14.4974535629153,0.216379903924109,0.215928748250008,0.0489354759323144
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,13.3641254901886,0.202486749851342,0.197917185723782,0.0391583693761646
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,10.3347061648965,0.184548324373152,0.182518199086189,0.0442278573361545
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,13.1071376428008,0.229949783207032,0.237532436847687,0.0458895901437658
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,12.3712199926376,0.190326461425194,0.191948786377907,0.0458527746560378
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,14.9138753712177,0.233029302675277,0.227110132575035,0.0514192970678315
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,15.652445461601,0.223606363737157,0.229450397193432,0.051613181990533
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,16.1350804269314,0.260243232692442,0.271787106990814,0.0576480468383371
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,11.4554862678051,0.204562254782234,0.191946923732758,0.0553483784066828
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,10.8091384470463,0.186364455983557,0.185279190540314,0.0424241627366926
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,14.3269243091345,0.242829225578551,0.246312707662582,0.0436027529980486
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,13.3539720885456,0.199313016246949,0.196839645504951,0.0435497584080851
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,14.2193830609322,0.222177860327065,0.211262874305248,0.0424200404966265
