Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,17.1266860216856,0.267604469088838,0.256902471184731,0.0592957637871108
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,10.3753943964839,0.211742742785386,0.220654085278511,0.0622156668454412
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,13.9714376926422,0.225345769236165,0.233851678669453,0.0553113485496713
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,17.5873069837689,0.331835980825829,0.34133118391037,0.0784354899983452
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,15.521005704999,0.310420114099979,0.302659869194031,0.059555663753904
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,11.4853197038174,0.220871532765719,0.219268694519997,0.0618389767562398
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,17.0889574289322,0.262907037368188,0.260129183530807,0.0739310765061925
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,14.3245798833668,0.246975515230462,0.25956130027771,0.085757396958157
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,13.9677098020911,0.225285641969212,0.220926471054554,0.0832697275295424
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,18.8179537504911,0.313632562508186,0.311278432607651,0.0542090280544185
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,21.5566570013762,0.378186964936424,0.379994779825211,0.0526812153588695
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,17.2591619044542,0.257599431409765,0.260009437799454,0.0702742759092707
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,16.2793482840061,0.246656792181911,0.240465834736824,0.0515195897877061
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,11.7370375618339,0.209589956461319,0.219611749053001,0.0559008868981433
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,15.3786443993449,0.269800778935876,0.278301179409027,0.0592302349576029
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,15.047580294311,0.231501235297093,0.229098945856094,0.0598709790321131
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,17.7267353832722,0.276980240363628,0.264472112059593,0.0694534073612892
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,18.7509610429406,0.267870872042009,0.278833657503128,0.0731888967564973
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,19.2990440130234,0.311274903435861,0.324013873934746,0.0653265730424986
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,14.0332772433758,0.250594236488853,0.246621407568455,0.0799352857509642
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,13.1177933961153,0.22616885165716,0.235092148184776,0.062707569645624
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.2755339890718,0.292805660831726,0.291906863451004,0.0549013641709973
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,16.0192097201943,0.23909268239096,0.23522461950779,0.0565846359234675
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,16.9646029099822,0.265071920468472,0.256425410509109,0.0540511774286618
