Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,14.9321687221527,0.233315136283636,0.234316468238831,0.0586054004599815
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,8.45500461757183,0.172551114644323,0.168591246008873,0.0574607411841818
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,12.70130790025,0.204859804842741,0.210861764848232,0.0590936821338107
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,16.194933667779,0.305564786184509,0.317382544279099,0.0834184116116015
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,14.2699568644166,0.285399137288332,0.271329179406166,0.0642942230109607
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,10.1974737495184,0.196105264413815,0.194953240454197,0.0483881591303455
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,15.6516918540001,0.240795259292309,0.241513550281525,0.0632158365403604
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,12.7185441367328,0.219285243736773,0.230111479759216,0.087514470403313
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,12.6490177549422,0.204016415402293,0.209875360131264,0.0764706034021839
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,17.2006719708443,0.286677866180738,0.294423192739487,0.0515151231330341
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,19.6434769034386,0.344622401814712,0.347729116678238,0.0491120150440376
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,15.3222789168358,0.228690730102027,0.222283706068993,0.0701415293535704
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,14.6064149513841,0.221309317445213,0.220818474888802,0.0483028523472845
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,10.4690026603639,0.186946476077927,0.191185921430588,0.0597242593343021
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,13.9565678201616,0.244852067020379,0.253967106342316,0.0603758464860802
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,13.4429054632783,0.206813930204281,0.201941952109337,0.0562526518365888
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,15.9955020844936,0.249929720070213,0.241488143801689,0.066326368463196
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,16.5848621986806,0.236926602838295,0.235444471240044,0.0549448859115484
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,17.5541883409023,0.283132070014554,0.303551256656647,0.0675900617607676
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,12.2089322023094,0.21801664646981,0.225483328104019,0.0732475944714551
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,10.952730756253,0.188840185452638,0.199838936328888,0.0581947422788829
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,16.0343341082335,0.271768374715821,0.282541573047638,0.0562868288741355
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,14.1418314129114,0.211072110640469,0.210783004760742,0.0515623450759208
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,15.3045455217361,0.239133523777127,0.231885865330696,0.0547562346734364
