Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,26.3739184141159,0.412092475220561,0.407514780759811,0.0616535106351458
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,15.9104990363121,0.324704061965553,0.322840094566345,0.0639297661608536
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,22.9408703744411,0.370014038297438,0.375591561198235,0.0691989881787844
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,23.2766262292862,0.439181626967664,0.456117361783981,0.0683532545808292
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,20.6980334222317,0.413960668444633,0.407610788941383,0.0570682180768022
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,17.5789087861776,0.338055938195724,0.340975433588028,0.0623629325363108
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,24.3654467463493,0.374853026866913,0.361928462982178,0.0725721990505555
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,23.8661634027958,0.411485575910272,0.420538783073425,0.0851393407342367
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,21.618478924036,0.348685143936065,0.362273588776588,0.0855105592145273
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,27.8493665158749,0.464156108597914,0.46441562473774,0.0607311592357424
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,27.6219281852245,0.484595231319729,0.502215683460236,0.0510169765018366
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,26.4139305651188,0.394237769628639,0.384074956178665,0.0680457701001
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,21.8745841085911,0.33143309255441,0.329167991876602,0.0605522060579385
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,17.292639374733,0.30879713169166,0.304910615086555,0.0526959995645324
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,21.1455738320947,0.370974979510433,0.377031087875366,0.0778636569441582
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,18.8465030118823,0.289946200182805,0.293569982051849,0.0697894050245608
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,24.9511963129044,0.389862442389131,0.388229370117188,0.0647443823284058
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,27.674266859889,0.395346669426986,0.393109083175659,0.0616648022077786
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,25.4841074943542,0.411033991844423,0.424537196755409,0.0729244236556747
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,19.2440188452601,0.34364319366536,0.348680734634399,0.0908999568668734
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,19.6641694754362,0.3390374047489,0.341045007109642,0.0524755956943204
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,21.0006177127361,0.355942673097223,0.357307434082031,0.0515317549465504
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,22.9521745741367,0.342569769763235,0.358100295066833,0.0496328222604946
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,25.1386104729027,0.392790788639104,0.400836080312729,0.0648525418332861
